read,write,math,science
57,52,41,47
68,59,53,63
44,33,54,58
63,44,47,53
47,52,57,53
44,52,51,63
50,59,42,53
34,46,45,39
63,57,54,58
57,55,52,50
60,46,51,53
57,65,51,63
73,60,71,61
54,63,57,55
45,57,50,31
42,49,43,50
47,52,51,50
57,57,60,58
68,65,62,55
55,39,57,53
63,49,35,66
63,63,75,72
50,40,45,55
60,52,57,61
37,44,45,39
34,37,46,39
65,65,66,61
47,57,57,58
44,38,49,39
52,44,49,55
42,31,57,47
76,52,64,64
65,67,63,66
42,41,57,72
52,59,50,61
60,65,58,61
68,54,75,66
65,62,68,66
47,31,44,36
39,31,40,39
47,47,41,42
55,59,62,58
52,54,57,55
42,41,43,50
65,65,48,63
55,59,63,69
50,40,39,49
65,59,70,63
47,59,63,53
57,54,59,47
53,61,61,57
39,33,38,47
44,44,61,50
63,59,49,55
73,62,73,69
39,39,44,26
37,37,42,33
42,39,39,56
63,57,55,58
48,49,52,44
50,46,45,58
47,62,61,69
44,44,39,34
34,33,41,36
50,42,50,36
44,41,40,50
60,54,60,55
47,39,47,42
63,43,59,65
50,33,49,44
44,44,46,39
60,54,58,58
73,67,71,63
68,59,58,74
55,45,46,58
47,40,43,45
55,61,54,49
68,59,56,63
31,36,46,39
47,41,54,42
63,59,57,55
36,49,54,61
68,59,71,66
63,65,48,63
55,41,40,44
55,62,64,63
52,41,51,53
34,49,39,42
50,31,40,34
55,49,61,61
52,62,66,47
63,49,49,66
68,62,65,69
39,44,52,44
44,44,46,47
50,62,61,63
71,65,72,66
63,65,71,69
34,44,40,39
63,63,69,61
68,60,64,69
47,59,56,66
47,46,49,33
63,52,54,50
52,59,53,61
55,54,66,42
60,62,67,50
35,35,40,51
47,54,46,50
71,65,69,58
57,52,40,61
44,50,41,39
65,59,57,46
68,65,58,59
73,61,57,55
36,44,37,42
43,54,55,55
73,67,62,58
52,57,64,58
41,47,40,39
60,54,50,50
50,52,46,50
50,52,53,39
47,46,52,48
47,62,45,34
55,57,56,58
50,41,45,44
39,53,54,50
50,49,56,47
34,35,41,29
57,59,54,50
57,65,72,54
68,62,56,50
42,54,47,47
61,59,49,44
76,63,60,67
47,59,54,58
46,52,55,44
39,41,33,42
52,49,49,44
28,46,43,44
42,54,50,50
47,42,52,39
47,57,48,44
52,59,58,53
47,52,43,48
50,62,41,55
44,52,43,44
47,41,46,40
45,55,44,34
47,37,43,42
65,54,61,58
43,57,40,50
47,54,49,53
57,62,56,58
68,59,61,55
52,55,50,54
42,57,51,47
42,39,42,42
66,67,67,61
47,62,53,53
57,50,50,51
47,61,51,63
57,62,72,61
52,59,48,55
44,44,40,40
50,59,53,61
39,54,39,47
57,62,63,55
57,60,51,53
42,57,45,50
47,46,39,47
42,36,42,31
60,59,62,61
44,49,44,35
63,60,65,54
65,67,63,55
39,54,54,53
50,52,45,58
52,65,60,56
60,62,49,50
44,49,48,39
52,67,57,63
55,65,55,50
50,67,66,66
65,65,64,58
52,54,55,53
47,44,42,42
63,62,56,55
50,46,53,53
42,54,41,42
36,57,42,50
50,52,53,55
41,59,42,34
47,65,60,50
55,59,52,42
42,46,38,36
57,41,57,55
55,62,58,58
63,65,65,53
